Segment,num_accounts,avg_balance,num_transactions,avg_transactions,num_loans,avg_loans,Customer_ID,Cluster
Loan-Heavy Customers,-0.6266137388079476,-1.1443513266177245,-0.6556640309327536,0.07621868831781899,1.1392007204916987,0.5937090160780717,53.625,3.0
Most-Active Customers,1.257869060866324,0.10439476799554163,1.466755898887541,0.1378345157275849,-0.25019828907995256,0.41326536870440794,61.55555555555556,2.0
Steady Customers,-6.891039463190627e-17,-0.0050625229571437955,-0.06941437381566543,0.19618236337446676,-0.713331292270503,-1.214897145053015,50.58620689655172,0.0
Wealthy Inactives,-0.5256593031111115,0.6907220236550423,-0.5790818685165574,-0.39124203475171543,0.29012354797568957,0.7622456796920392,45.416666666666664,1.0
